id,lon,lat,name,tag
P1,121.917995,11.96915139,Station 1 Boracay Island,Beach
P2,120.7556237,14.53538482,Taal Lake,Lake
P3,121.1895836,14.41305217,Laguna de Bay,Lake
P4,124.0223292,13.15120206,Albay Gulf,Gulf
P5,120.8712171,15.2697575,Pampanga River,River
P6,120.2232819,11.9538073,Kayangan Lake,Lake
P7,124.1944986,8.187376503,Maria Cristina Falls,Falls
P8,121.0290103,14.57824374,Pasig River,River
P9,120.7539549,14.52011179,Manila Bay,Bay
P10,125.7320198,8.504282136,Agusan River,River
P11,123.4698113,10.98959703,Carbin Reef,Reef
P12,121.3064679,14.54851073,Daranak Falls,Falls
P13,121.1097228,14.68404923,Marikina River,River
P14,120.4236327,14.45627155,Camaya Coast Beach,Beach
P15,119.1637435,10.44432831,Twin Reef,Reef
